# What a character means inside the words of these stories.
#   字 syllable | syllable | meaning   this character in this reading, any word
#   字@word     | syllable | meaning   this character inside this one word
# Anything not listed falls back to the dictionary's first sense for the
# reading; `python build/build_stories.py --report file` lists those.

名@名校 | míng | famous
字 zi | zi | name; character
字 zì | zì | character; writing
米@米米 | mi | (sound of the cat's name; literally "rice")
年@年轻 | nián | age; years (年轻 = young)
年@年轻人 | nián | age; years (年轻人 = young people)
漂 piào | piào | (part of 漂亮 pretty)
上 shang | shang | on; up
上@早上 | shang | (time word suffix: 早上 = morning)
上@晚上 | shang | (time word suffix: 晚上 = evening)
上@上午 | shàng | upper; first (上午 = before noon)
上@马上 | shàng | on (马上: on horseback → at once)
上@上班 | shàng | to go to (work)
上@赶上 | shàng | (after a verb) in time; up to
上@上门 | shàng | to go to (someone's door)
上@上网 | shàng | to go on (the internet)
上@上面 | shàng | top; above
上@上课 | shàng | to give (a class)
房 fáng | fáng | house; room
间@房间 | jiān | room; space
间@时间 | jiān | period; span (of time)
道 dào | dào | path; road
道@知道 | dào | to say; to know (知道 = to know)
道@道歉 | dào | to say (道歉 = to say sorry)
道@道贺 | dào | to express (道贺 = to congratulate)
道@写道 | dào | to say (写道 = to write that)
道 dao | dao | dealings (打交道 = to deal with)
东@东西 | dōng | east (东西 = things)
西@东西 | xi | west (东西 = things)
起@一起 | qǐ | (一起 = together)
起@想起 | qǐ | (after a verb) up (想起 = to recall)
起@提起 | qǐ | up (提起 = to bring up)
起 qi | qi | (after a verb) up
床 chuáng | chuáng | bed
些 xiē | xiē | some; a few
时 shí | shí | time; hour
候 hou | hou | time; season (时候 = time)
饭 fàn | fàn | meal; (cooked) rice
午 wǔ | wǔ | noon
妈 mā | mā | mum
妈 ma | ma | mum
作@作文 | zuò | to write (作文 = essay)
家@大家 | jiā | family; people (大家 = everyone)
里 li | li | in; inside
里@那里 | li | place (那里 = there)
里@这里 | li | place (这里 = here)
里 lǐ | lǐ | inside
没 méi | méi | not; not have
么 me | me | (question-word suffix)
常 cháng | cháng | often; usual
常@非常 | cháng | usual (非常 = unusually → very)
觉 jiào | jiào | sleep; nap
下@下午 | xià | lower; later (下午 = afternoon)
下@下雨 | xià | to fall (of rain)
下@下雪 | xià | to fall (of snow)
下@下班 | xià | to get off (work)
下@下次 | xià | next
下@留下 | xià | (after a verb) behind; down
下@剩下 | xià | (after a verb) behind
下@下棋 | xià | to play (chess)
下 xia | xia | (after a verb) down
回@回答 | huí | back (回答 = to answer)
打 dǎ | dǎ | to hit; to do (a general action verb)
打@打扫 | dǎ | to do (打扫 = to clean)
打@打算 | dǎ | (打算 = to plan)
开@开始 | kāi | to start
开@开车 | kāi | to drive
开@离开 | kāi | away (离开 = to leave)
开@开心 | kāi | open (开心 = happy)
开@开口 | kāi | to open (one's mouth)
开@开头 | kāi | to begin
见@意见 | jiàn | view; opinion
门 mén | mén | door
口 kǒu | kǒu | mouth; opening
口@门口 | kǒu | opening (门口 = doorway)
口@村口 | kǒu | entrance
来 lai | lai | (after a verb) towards here
话 huà | huà | words; speech
可 kě | kě | can; may
可@可是 | kě | but
可@可爱 | kě | worth (可爱 = lovable)
兴 xìng | xìng | interest; good mood
兴 xīng | xīng | to rise; to be excited
晚@早晚 | wǎn | late (早晚 = sooner or later)
晚@晚点 | wǎn | late
子 zi | zi | (noun suffix)
子 zǐ | zǐ | son
汉 Hàn | Hàn | Han (Chinese)
语 yǔ | yǔ | language; words
气 qì | qì | air; vapour
气@生气 | qì | anger (生气 = to get angry)
果@如果 | guǒ | result (如果 = if)
店 diàn | diàn | shop
面 mian | mian | side; face (direction suffix)
们 men | men | (plural suffix)
路 lù | lù | road; way
分@分钟 | fēn | minute
钟@分钟 | zhōng | clock; time
钟@钟表 | zhōng | clock
苹 píng | píng | (part of 苹果 apple)
西@西瓜 | xī | west (西瓜 = watermelon)
中@中国 | Zhōng | middle (中国 = the Middle Kingdom, China)
边 bian | bian | side
吃@吃惊 | chī | to suffer (吃惊 = to get a fright)
牛 niú | niú | cow
奶@牛奶 | nǎi | milk
奶@奶奶 | nǎi | grandma
奶 nai | nai | grandma
电 diàn | diàn | electric(ity)
视 shì | shì | to look at
明@明天 | míng | next (明天 = tomorrow)
明@大明 | míng | bright (part of the name)
第 dì | dì | (ordinal prefix: 第一 = first)
生 sheng | sheng | person (学生 = student; 先生 = sir)
生 shēng | shēng | life; to be born
生@医生 | shēng | person (医生 = doctor)
生@大学生 | shēng | student
生@研究生 | shēng | student
生@生气 | shēng | to produce (生气 = to get angry)
生@生病 | shēng | to get (ill)
生@人生 | shēng | life
的 de | de | (…的: … ones)
进 jìn | jìn | to enter
老@老师 | lǎo | (respectful prefix: 老师 = teacher)
老@老板 | lǎo | (老板 = boss)
你 nǐ | nǐ | you
同 tóng | tóng | same; together
月@腊月 | yuè | month
米@平方米 | mǐ | metre
鸡 jī | jī | chicken
歌 gē | gē | song
影 yǐng | yǐng | image; shadow
李@李冬 | Lǐ | Li (surname)
李 li | li | luggage (行李)
他@其他 | tā | other
关 guān | guān | to concern; to close
关@关门 | guān | to close
关@关键 | guān | pass (关键 = key point)
系 xi | xi | connection
太@太阳 | tài | great (太阳 = sun)
阳@太阳 | yáng | sun
阳@阳台 | yáng | sun (阳台 = balcony)
以 yǐ | yǐ | by; with; (以前 / 以后) from
得 de | de | (verb suffix)
所 suǒ | suǒ | that which (所以 = so)
司@公司 | sī | to manage (公司 = company)
忽 hū | hū | suddenly
然 rán | rán | (adverb suffix: -ly)
班 bān | bān | shift; work
机@机会 | jī | chance
经 jīng | jīng | to pass through
经@经济 | jīng | to manage (经济 = economy)
经@经费 | jīng | to manage (经费 = funds)
正 zhèng | zhèng | just; right
车 chē | chē | vehicle
园 yuán | yuán | garden; park
院@医院 | yuàn | hospital
院@出院 | yuàn | hospital
诉 su | su | to tell
次 cì | cì | time; next
考 kǎo | kǎo | to test
就 jiù | jiù | just
最 zuì | zuì | most
顺 shùn | shùn | smooth; along
利@顺利 | lì | favourable (顺利 = smooth)
利@利用 | lì | benefit (利用 = to make use of)
息 xi | xi | to rest
方 fāng | fāng | direction; side
方@方便 | fāng | way; method (方便 = convenient)
方@平方米 | fāng | square
方@方寸 | fāng | square (方寸 = a tiny space)
方 fang | fang | place
去@去年 | qù | gone; past (去年 = last year)
去@去世 | qù | to leave (去世 = to pass away)
去@失去 | qù | away
发@发现 | fā | to reveal
