# HSK 6 - Proficient
# Written register: 倘若, 以至于, 何尝, 未尝不是, 于…而言, 与其说…不如说, 亦,
# 均, 自…至今, 待, 直至…为止, 以…为, 不禁, 所谓, 鲜有, 此番, 半晌, chengyu.

=== s21
level: 6
tag: A dying trade
zh: 修表的人
en: The Watchmaker
text:
在 老城区 一 条 狭窄 的 巷子 深处 ， 有 一 间 不足 十 平方米 的 修表 铺 。 店主 姓 周 ， 年逾古稀 ， 自 十六 岁 拜师 学艺 至今 ， 已 与 钟表 打 了 半 个 多 世纪 的 交道 。

铺子 里 陈设 极为 简陋 ： 一 张 旧 木桌 ， 一 盏 台灯 ， 一 排 大小 不一 的 镊子 和 螺丝刀 。 周 师傅 修 表 时 ， 总 要 戴上 一 只@mw 放大镜 ， 屏住 呼吸 ， 仿佛 整个 世界 都 缩小 到 了 那 方寸 之间 。 倘若 有人 在 此时 跟 他 说话 ， 他 往往 充耳不闻 。

近 些 年 来@over ， 随着 智能手机 的@poss 普及 ， 戴 手表 的 人 日益 减少 ， 前来 修 表 的 顾客 更是 寥寥无几 。 附近 的 店铺 纷纷 改行 ， 有人 劝 他 不妨 也 转 做 手机 维修 ， 以 维持 生计 。 他 却 只是 笑笑 ： “ 手艺 这 东西 ， 一旦 丢 了 ， 就 再也 捡 不 回来 了@change 。 ”

去年 冬天 ， 一 位 年轻人 拿 着 一 块 停摆 多年 的 怀表 找 上门 来 。 那 是 他 祖父 的@poss 遗物 ， 辗转 问 了 好 几 家 店 ， 均 被 告知 零件 早已 停产 ， 无法 修复 。 周 师傅 端详 良久 ， 未置可否 ， 只 让 他 一 个 月 后 再 来 。

此后 的 一 个 月 里 ， 他 几乎 每晚 都 在 灯 下 忙 到 深夜 ， 缺 的 零件 便 亲手 一点点 打磨 出来 。 当 年轻人 再次 推开 那 扇 木门 时 ， 怀表 的@poss 秒针 正 不紧不慢 地 走 着 。 年轻人 眼眶 泛红 ， 执意 要@want 多@extra 付 钱 ， 周 师傅 却 摆摆 手 ， 说 能 听到 老 物件 重新 “ 活 ” 过来 的 声音 ， 于 他 而言 ， 便 是 最 好@good 的 酬劳 。
words:
在 | zài | in; at; under
老城区 | lǎo chéng qū | old town
一 | yī | one; a
条 | tiáo | (measure word for lanes, streets)
狭窄 | xiá zhǎi | narrow
的 | de | (links the description before it to the noun)
的@poss | de | 's; of (belonging to)
巷子 | xiàng zi | lane; alley
深处 | shēn chù | deep inside; far end
间 | jiān | (measure word for rooms, small shops)
不足 | bù zú | less than
平方米 | píng fāng mǐ | square metres
修表 | xiū biǎo | watch repair
铺 | pù | shop
店主 | diàn zhǔ | shop owner
姓 | xìng | to be surnamed
周 | Zhōu | Zhou (name)
年逾古稀 | nián yú gǔ xī | past seventy years of age
自 | zì | since; from
拜师 | bài shī | to become an apprentice to a master
学艺 | xué yì | to learn a craft
至今 | zhì jīn | to this day
已 | yǐ | already
钟表 | zhōng biǎo | clocks and watches
打 | dǎ | (打交道 = to deal with; to work with)
了 | le | (the action is done)
了@change | le | (a new situation: no longer)
多 | duō | more than (半个多世纪 = over half a century)
多@extra | duō | extra; more
世纪 | shì jì | century
交道 | jiāo dao | dealings (打交道 = to deal with)
铺子 | pù zi | shop
里 | li | in; within
陈设 | chén shè | furnishings
极为 | jí wéi | extremely
简陋 | jiǎn lòu | bare; simple
张 | zhāng | (measure word for tables)
木桌 | mù zhuō | wooden table
盏 | zhǎn | (measure word for lamps)
台灯 | tái dēng | desk lamp
排 | pái | row
大小 | dà xiǎo | size
不一 | bù yī | differing
镊子 | niè zi | tweezers
和 | hé | and
螺丝刀 | luó sī dāo | screwdriver(s)
师傅 | shī fu | master (craftsman)
表 | biǎo | watch
总 | zǒng | always
要 | yào | would (always)
要@want | yào | to want to
戴上 | dài shang | to put on
只@mw | zhī | (measure word: a single)
只 | zhǐ | only
放大镜 | fàng dà jìng | magnifying glass; loupe
屏住 | bǐng zhù | to hold (one's breath)
呼吸 | hū xī | breath
仿佛 | fǎng fú | as if
整个 | zhěng gè | whole
世界 | shì jiè | world
都 | dōu | all; every
缩小 | suō xiǎo | to shrink
到 | dào | to; until
那 | nà | that
方寸 | fāng cùn | a tiny space
之间 | zhī jiān | within; between
倘若 | tǎng ruò | if
有人 | yǒu rén | someone
此时 | cǐ shí | at this time
跟 | gēn | to; with
